Urban Area,Year,Freeway Daily Vehicle-Miles of Travel,Arterial Street Daily Vehicle-Miles of Travel,Annual Excess Fuel Consumed Total Gallons,Rank,Annual Excess Fuel Consumed Gallons per Auto Commuter,Rank,Annual Hours of Delay per Auto Commuter,Rank,Commuter Stress Index Value,Rank,Annual Congestion Cost Total Dollars (million),Rank
Cincinnati OH-KY-IN,1992,11610,7015,11201,26,10,16,28,31,1.15,46,873,29
Cincinnati OH-KY-IN,1993,12560,7485,12237,26,10,24,30,29,1.16,44,926,29
Cincinnati OH-KY-IN,1994,13415,7990,13343,26,11,20,32,28,1.17,44,984,29
Cincinnati OH-KY-IN,1995,13425,8510,14898,26,13,15,34,26,1.18,43,1069,29
Cincinnati OH-KY-IN,1996,13870,9020,16209,26,14,14,35,26,1.18,46,1130,28
Cincinnati OH-KY-IN,1997,14930,9640,17311,24,15,12,36,29,1.19,42,1179,27
Cincinnati OH-KY-IN,1998,15195,10000,18543,22,16,12,37,31,1.19,45,1244,26
Cincinnati OH-KY-IN,1999,15500,10300,19667,23,17,12,38,33,1.19,48,1291,27
Cincinnati OH-KY-IN,2000,16000,10700,20710,23,18,12,38,36,1.2,46,1315,26
Cincinnati OH-KY-IN,2001,16200,11000,21659,24,18,15,39,36,1.2,46,1337,26
Cincinnati OH-KY-IN,2002,16900,11200,21972,25,19,13,38,44,1.2,47,1335,28
Cincinnati OH-KY-IN,2003,17635,12200,22349,25,19,17,38,45,1.2,51,1328,28
Cincinnati OH-KY-IN,2004,17790,12270,22572,28,19,23,38,49,1.2,52,1307,29
Cincinnati OH-KY-IN,2005,18560,12030,22886,28,20,19,39,48,1.2,53,1281,29
Cincinnati OH-KY-IN,2006,18820,12080,23307,28,20,22,39,51,1.2,54,1263,29
Cincinnati OH-KY-IN,2007,18990,12175,23728,28,20,26,39,53,1.2,55,1252,29
Cincinnati OH-KY-IN,2008,18240,11995,23621,29,20,30,39,52,1.2,57,1200,29
Cincinnati OH-KY-IN,2009,18750,12125,22082,30,19,35,36,59,1.19,59,1126,30
Cincinnati OH-KY-IN,2010,19314,12784,22741,29,19,39,37,54,1.19,58,1140,30
Cincinnati OH-KY-IN,2011,19370,13323,23647,29,20,30,39,46,1.2,53,1149,29
Cincinnati OH-KY-IN,2012,18550,13380,24586,28,21,25,40,46,1.2,55,1171,29
Cincinnati OH-KY-IN,2013,18070,15439,24748,29,21,27,40,47,1.2,56,1162,29
Cincinnati OH-KY-IN,2014,18088,15593,25086,28,21,32,41,45,1.21,52,1159,29
Cleveland OH,1982,10000,6205,3487,32,3,36,6,90,1.05,80,350,39
Cleveland OH,1983,10520,6310,3964,32,3,42,7,85,1.06,67,386,37
Cleveland OH,1984,10600,6460,4468,31,4,34,8,83,1.06,76,417,37
Cleveland OH,1985,10305,6585,5014,30,4,40,9,83,1.06,81,452,37
Cleveland OH,1986,10705,6775,5486,30,5,33,10,83,1.07,72,485,37
Cleveland OH,1987,11115,7000,6212,30,5,39,11,82,1.07,78,530,37
Cleveland OH,1988,12670,7590,7740,26,7,21,14,75,1.08,74,634,33
Cleveland OH,1989,13175,7810,9634,24,8,18,17,63,1.09,69,753,30
Cleveland OH,1990,13660,7905,11849,22,10,13,21,53,1.11,59,879,25
Cleveland OH,1991,13750,8210,13475,20,11,12,23,50,1.12,54,959,25
Cleveland OH,1992,14125,8490,14886,20,13,8,25,45,1.13,51,1028,23
Cleveland OH,1993,14905,8785,17148,18,15,8,29,32,1.14,50,1150,22
Cleveland OH,1994,15310,9215,19358,18,16,8,32,28,1.16,47,1266,22
Cleveland OH,1995,15695,9500,20948,18,18,7,34,26,1.17,46,1332,22
Cleveland OH,1996,16020,10020,22007,16,19,7,35,26,1.17,49,1360,21
Cleveland OH,1997,16660,10255,22653,17,19,8,36,29,1.17,52,1368,22
Cleveland OH,1998,17120,10605,22870,19,19,8,36,36,1.17,53,1360,22
Cleveland OH,1999,17260,10795,23007,20,20,8,35,45,1.17,58,1339,25
Cleveland OH,2000,17285,11105,22812,21,19,8,35,47,1.17,63,1284,27
Cleveland OH,2001,16750,11310,22640,22,19,11,34,53,1.16,68,1239,28
Cleveland OH,2002,16800,11490,22148,24,19,13,33,61,1.16,72,1193,30
Cleveland OH,2003,17390,11800,22071,27,19,17,32,71,1.16,74,1163,30
Cleveland OH,2004,18375,12020,23671,25,20,14,34,66,1.17,73,1215,30
Cleveland OH,2005,18150,12185,23683,26,20,19,34,70,1.17,76,1175,30
Cleveland OH,2006,18205,12065,23569,27,20,22,34,73,1.16,83,1132,31
Cleveland OH,2007,18120,12005,24063,27,20,26,35,75,1.17,80,1125,31
Cleveland OH,2008,17225,11930,24474,27,21,24,35,75,1.17,79,1102,32
Cleveland OH,2009,17900,12000,23535,27,20,24,34,68,1.16,82,1064,32
Cleveland OH,2010,18635,12265,24315,27,21,21,36,61,1.17,74,1081,32
Cleveland OH,2011,18569,12222,24993,26,21,22,37,56,1.18,66,1077,33
Cleveland OH,2012,16880,12120,25192,27,21,25,37,57,1.18,66,1064,33
Cleveland OH,2013,17868,12862,25390,27,22,21,38,52,1.18,69,1056,33
Cleveland OH,2014,18297,13364,25547,27,22,23,38,55,1.18,71,1046,33
Colorado Springs CO,1982,1000,2220,626,80,1,86,7,82,1.04,90,71,83
Colorado Springs CO,1983,1105,2330,654,82,1,86,7,85,1.04,91,72,83
Colorado Springs CO,1984,1300,2410,709,82,2,78,8,83,1.04,94,75,83
Colorado Springs CO,1985,1640,2465,868,82,2,82,9,83,1.05,91,88,82
Colorado Springs CO,1986,1705,2550,1062,81,2,84,11,78,1.05,93,106,82
Colorado Springs CO,1987,1760,2610,1415,79,3,77,14,64,1.07,78,136,79
Colorado Springs CO,1988,1760,2705,1543,77,3,79,15,67,1.07,82,143,79
Colorado Springs CO,1989,1780,2795,1771,78,4,72,17,63,1.08,79,156,78
Colorado Springs CO,1990,1780,2910,2089,76,5,64,20,59,1.09,75,175,76
Colorado Springs CO,1991,1795,3005,2363,74,5,72,21,62,1.1,74,190,76
Colorado Springs CO,1992,1815,3170,2580,74,6,63,23,59,1.11,74,201,75
Colorado Springs CO,1993,1890,3310,3007,73,7,59,25,55,1.12,68,228,73
Colorado Springs CO,1994,2000,3420,3226,73,7,65,25,62,1.12,74,238,74
Colorado Springs CO,1995,2185,3530,3663,72,8,62,28,53,1.13,71,263,73
Colorado Springs CO,1996,2260,3650,4109,70,9,60,30,50,1.14,68,287,70
Colorado Springs CO,1997,2500,3840,4484,70,10,58,31,50,1.14,73,306,69
Colorado Springs CO,1998,2650,4020,4976,69,11,56,33,47,1.16,60,334,69
Colorado Springs CO,1999,2800,4280,5278,68,11,63,34,47,1.16,66,347,70
Colorado Springs CO,2000,3000,4485,5637,69,12,60,34,50,1.16,70,358,70
Colorado Springs CO,2001,3150,4610,5757,71,12,66,34,53,1.16,68,356,71
Colorado Springs CO,2002,3300,4720,5861,72,13,64,34,55,1.16,72,356,71
Colorado Springs CO,2003,3435,4970,6072,72,13,71,35,57,1.16,74,361,71
Colorado Springs CO,2004,3705,5200,6270,72,14,68,36,57,1.17,73,363,71
Colorado Springs CO,2005,4125,5415,6475,72,14,71,36,58,1.17,76,363,72
Colorado Springs CO,2006,4060,5410,6624,72,14,77,35,69,1.17,77,359,72
Colorado Springs CO,2007,4065,5200,6940,72,15,72,36,68,1.17,80,366,72
Colorado Springs CO,2008,3955,5230,7037,72,15,74,35,75,1.16,87,358,72
Colorado Springs CO,2009,4100,5120,7103,71,15,68,35,63,1.16,82,362,71
Colorado Springs CO,2010,4315,5055,7186,71,16,68,34,71,1.16,82,361,71
Colorado Springs CO,2011,4624,5129,7292,71,16,69,34,73,1.16,82,355,71
Colorado Springs CO,2012,4500,4800,7339,71,16,69,34,72,1.16,84,350,71
Colorado Springs CO,2013,4547,5160,7387,71,16,71,33,79,1.16,85,347,73
Colorado Springs CO,2014,4652,5366,7700,71,17,70,35,72,1.16,86,356,71
Columbia SC,1982,1375,2595,659,79,2,62,7,82,1.05,80,83,79
Columbia SC,1983,1400,2900,761,79,2,68,8,76,1.05,85,92,78
Columbia SC,1984,1445,3205,1107,76,3,54,11,64,1.07,62,129,74
Columbia SC,1985,1655,3380,1196,76,3,63,12,63,1.07,66,134,75
Columbia SC,1986,1800,3410,1299,76,3,71,13,65,1.07,72,143,77
Columbia SC,1987,2215,3520,1486,76,3,77,15,61,1.08,67,158,75
Columbia SC,1988,2485,3550,1533,78,4,66,15,67,1.08,74,157,77
Columbia SC,1989,2500,3630,1802,76,4,72,17,63,1.09,69,176,75
Columbia SC,1990,2655,3715,1880,78,4,77,18,67,1.09,75,174,77
Columbia SC,1991,2740,3750,1917,79,4,82,18,73,1.09,78,170,78
Columbia SC,1992,2955,3795,2159,78,5,77,20,68,1.1,76,186,77
Columbia SC,1993,3135,3800,2274,78,5,79,21,71,1.11,76,190,77
Columbia SC,1994,3280,3850,2404,78,6,79,21,75,1.11,78,196,76
Columbia SC,1995,3615,3950,2541,77,6,81,21,78,1.11,81,201,76
Columbia SC,1996,3655,4055,2862,77,7,77,22,79,1.11,84,220,76
Columbia SC,1997,3840,4210,3171,76,7,82,24,75,1.12,82,239,76
Columbia SC,1998,4035,4290,3235,77,8,78,23,83,1.12,85,240,76
Columbia SC,1999,4215,4400,3743,77,9,77,27,73,1.13,83,271,76
Columbia SC,2000,4500,4530,4211,76,10,77,29,72,1.14,81,295,76
Columbia SC,2001,4600,4610,4459,76,10,79,30,74,1.15,79,304,76
Columbia SC,2002,4820,4720,4700,76,11,78,31,75,1.15,82,316,75
Columbia SC,2003,5075,4805,5062,76,12,76,32,71,1.15,83,332,75
Columbia SC,2004,5300,4900,5453,76,13,75,34,66,1.16,77,349,72
Columbia SC,2005,5635,4940,5877,75,14,71,35,65,1.17,76,364,71
Columbia SC,2006,5770,5035,6492,73,15,67,38,55,1.18,72,389,70
Columbia SC,2007,5895,5180,7363,71,17,57,41,46,1.19,63,429,67
Columbia SC,2008,5730,5125,7690,69,18,51,41,45,1.19,65,432,66
Columbia SC,2009,5900,5125,7512,67,17,54,39,45,1.18,62,423,64
Columbia SC,2010,6056,5132,7568,69,18,48,38,48,1.18,65,419,64
Columbia SC,2011,6106,5174,7630,69,18,51,38,50,1.18,66,410,64
Columbia SC,2012,5790,5150,7828,69,18,55,38,50,1.18,66,412,65
Columbia SC,2013,5846,5270,7927,68,18,57,38,52,1.18,69,411,64
Columbia SC,2014,6016,5460,8018,68,19,51,38,55,1.18,71,409,63
Columbus OH,1982,6200,3010,3763,30,4,28,17,24,1.11,34,428,32
Columbus OH,1983,6550,3420,4286,30,4,29,19,22,1.12,34,472,31
Columbus OH,1984,6805,3835,4490,30,5,22,20,24,1.12,36,474,33
Columbus OH,1985,6960,4175,4637,32,5,29,20,26,1.13,36,473,35
Columbus OH,1986,7565,4515,4896,36,5,33,21,26,1.13,37,490,36
Columbus OH,1987,7915,4825,5409,36,5,39,23,25,1.14,38,523,38
Columbus OH,1988,8155,5105,5731,36,6,31,24,26,1.14,40,532,38
Columbus OH,1989,8350,5380,6080,38,6,44,25,26,1.15,41,538,39
Columbus OH,1990,9030,5810,6617,37,7,38,27,25,1.16,41,556,39
Columbus OH,1991,9200,6140,7446,37,8,31,28,25,1.16,41,600,38
Columbus OH,1992,9460,6435,8442,37,9,28,30,25,1.17,41,661,39
Columbus OH,1993,10060,6825,9379,36,9,41,32,22,1.18,40,712,38
Columbus OH,1994,10330,7215,10042,36,10,37,34,19,1.19,38,744,38
Columbus OH,1995,10650,7735,10402,38,11,35,34,26,1.19,40,749,38
Columbus OH,1996,10980,8375,11023,38,11,41,35,26,1.19,41,771,38
Columbus OH,1997,11315,8850,11760,39,12,38,36,29,1.2,39,804,38
Columbus OH,1998,11500,9005,12131,39,12,47,36,36,1.2,40,817,40
Columbus OH,1999,11650,9150,12871,39,13,44,37,36,1.2,42,848,39
Columbus OH,2000,12000,9300,13633,39,14,43,38,36,1.21,40,869,39
Columbus OH,2001,13400,9510,14647,39,15,40,40,32,1.22,40,908,39
Columbus OH,2002,13900,9690,15294,38,15,49,40,34,1.22,42,933,42
Columbus OH,2003,14665,9870,15874,38,16,44,40,36,1.22,43,947,41
Columbus OH,2004,15045,10110,16341,38,17,43,41,37,1.22,43,950,43
Columbus OH,2005,14960,10440,16769,38,17,46,41,40,1.22,44,943,43
Columbus OH,2006,15430,10175,17240,37,17,52,41,42,1.22,44,938,41
Columbus OH,2007,15210,10160,17428,38,18,47,40,50,1.22,45,923,41
Columbus OH,2008,14740,10005,17640,39,18,51,40,48,1.22,48,899,43
Columbus OH,2009,15300,10300,17119,41,17,54,38,48,1.21,46,876,43
Columbus OH,2010,16000,10500,17804,39,18,48,38,48,1.21,49,896,42
Columbus OH,2011,16466,10872,18089,40,18,51,38,50,1.21,51,883,42
Columbus OH,2012,15245,9855,19170,37,19,47,40,46,1.22,47,917,41
Columbus OH,2013,16182,11241,19755,37,20,40,40,47,1.22,46,931,40
Columbus OH,2014,16360,11421,19870,38,20,44,41,45,1.22,49,921,41
Corpus Christi TX,1982,1010,2300,843,76,3,36,10,58,1.07,57,90,77
Corpus Christi TX,1983,1080,2310,886,77,3,42,11,57,1.08,54,92,78
Corpus Christi TX,1984,1360,2330,977,78,4,34,12,56,1.08,57,97,80
Corpus Christi TX,1985,1425,2350,1074,79,4,40,13,57,1.08,58,103,80
Corpus Christi TX,1986,1560,2370,1212,79,5,33,14,58,1.09,56,114,80
Corpus Christi TX,1987,1620,2385,1312,80,5,39,14,64,1.09,59,119,81
Corpus Christi TX,1988,1750,2395,1470,80,6,31,16,62,1.1,55,128,80
Corpus Christi TX,1989,1830,2400,1519,81,6,44,16,69,1.1,63,126,81
Corpus Christi TX,1990,1980,2410,1594,80,6,51,17,71,1.1,71,126,81
Corpus Christi TX,1991,2100,2415,1662,80,6,58,17,78,1.1,74,126,82
Corpus Christi TX,1992,2240,2405,1727,81,7,53,18,80,1.1,76,127,82
Corpus Christi TX,1993,2400,2410,1762,84,7,59,17,85,1.1,81,126,83
Corpus Christi TX,1994,2390,2445,1854,84,7,65,18,86,1.11,78,129,87
Corpus Christi TX,1995,2395,2460,1996,83,8,62,18,87,1.11,81,135,87
Corpus Christi TX,1996,2540,2470,2159,83,8,70,19,88,1.11,84,142,87
Corpus Christi TX,1997,2745,2475,2373,83,9,68,21,86,1.12,82,152,86
Corpus Christi TX,1998,2750,2495,2634,81,10,66,23,83,1.13,79,167,85
Corpus Christi TX,1999,2785,2470,2691,84,10,73,23,87,1.13,83,166,87
Corpus Christi TX,2000,2815,2460,2756,87,11,70,24,88,1.13,85,165,87
Corpus Christi TX,2001,2915,2440,2841,90,11,74,24,90,1.13,89,165,91
Corpus Christi TX,2002,2960,2500,2895,90,11,78,24,91,1.13,89,166,92
Corpus Christi TX,2003,2960,2530,2926,91,11,83,24,91,1.13,89,164,92
Corpus Christi TX,2004,3095,2640,2998,92,12,80,24,91,1.13,91,164,92
Corpus Christi TX,2005,3180,2595,3043,92,12,82,24,91,1.13,94,161,93
Corpus Christi TX,2006,3150,2675,3146,92,12,85,25,91,1.14,92,161,94
Corpus Christi TX,2007,3110,2760,3267,92,13,82,26,90,1.14,92,162,94
Corpus Christi TX,2008,3150,2730,3313,91,13,83,26,89,1.14,92,159,93
Corpus Christi TX,2009,3100,2744,3449,88,13,80,27,88,1.14,89,166,90
Corpus Christi TX,2010,2916,2682,3514,88,14,78,27,88,1.14,89,166,92
Corpus Christi TX,2011,2942,2706,3561,89,14,79,27,88,1.14,89,163,92
Corpus Christi TX,2012,2860,2680,3866,88,15,76,29,87,1.15,89,174,91
Corpus Christi TX,2013,2985,2717,4068,88,16,71,31,84,1.16,85,180,89
Corpus Christi TX,2014,3054,2793,4110,88,16,75,31,85,1.16,86,179,90
Dallas-Fort Worth-Arlington TX,1982,23000,17735,21597,9,6,11,36,4,1.24,11,2804,8
Dallas-Fort Worth-Arlington TX,1983,25040,17930,23745,8,7,10,38,4,1.25,10,2987,7
Dallas-Fort Worth-Arlington TX,1984,26920,18565,27000,8,8,10,41,5,1.27,7,3256,7
Dallas-Fort Worth-Arlington TX,1985,28975,19710,26144,10,7,13,38,5,1.25,12,3044,9
Dallas-Fort Worth-Arlington TX,1986,30000,20355,25563,11,7,14,35,11,1.23,17,2922,11
Dallas-Fort Worth-Arlington TX,1987,32360,22025,28138,11,8,14,37,10,1.24,15,3103,10
Dallas-Fort Worth-Arlington TX,1988,32770,24030,29503,11,8,15,37,11,1.25,14,3125,10
Dallas-Fort Worth-Arlington TX,1989,33200,25990,30658,11,9,15,38,11,1.25,15,3098,9
Dallas-Fort Worth-Arlington TX,1990,35700,27980,33524,10,9,16,40,9,1.26,15,3214,8
Dallas-Fort Worth-Arlington TX,1991,36200,30040,34985,10,10,15,41,9,1.26,15,3218,7
Dallas-Fort Worth-Arlington TX,1992,37240,31520,36672,10,10,16,42,9,1.27,12,3275,7
Dallas-Fort Worth-Arlington TX,1993,38500,33035,38304,10,11,15,43,9,1.27,14,3321,7
Dallas-Fort Worth-Arlington TX,1994,40365,34815,39796,10,11,20,43,10,1.28,13,3365,8
Dallas-Fort Worth-Arlington TX,1995,42840,35095,42768,10,12,20,45,10,1.29,13,3516,8
Dallas-Fort Worth-Arlington TX,1996,44900,35215,45481,10,13,17,45,10,1.29,15,3632,8
Dallas-Fort Worth-Arlington TX,1997,46165,37530,47461,10,13,27,45,10,1.29,16,3705,8
Dallas-Fort Worth-Arlington TX,1998,48740,37345,50124,10,14,27,46,10,1.29,19,3853,7
Dallas-Fort Worth-Arlington TX,1999,50285,40695,53308,9,15,26,47,11,1.3,19,4009,7
Dallas-Fort Worth-Arlington TX,2000,52000,42265,55797,9,16,23,47,14,1.3,20,4060,7
Dallas-Fort Worth-Arlington TX,2001,54300,42150,57599,9,16,31,47,14,1.3,21,4075,8
Dallas-Fort Worth-Arlington TX,2002,56000,42240,59044,10,17,31,46,18,1.29,27,4112,9
Dallas-Fort Worth-Arlington TX,2003,57870,42970,62658,10,18,25,48,16,1.3,26,4267,9
Dallas-Fort Worth-Arlington TX,2004,59180,44805,66696,9,19,23,49,17,1.31,26,4424,8
Dallas-Fort Worth-Arlington TX,2005,61500,45750,71236,9,20,19,51,16,1.32,22,4570,7
Dallas-Fort Worth-Arlington TX,2006,63000,45680,75951,8,21,19,53,13,1.33,17,4716,5
Dallas-Fort Worth-Arlington TX,2007,63300,46000,77973,8,22,15,53,13,1.33,19,4713,5
Dallas-Fort Worth-Arlington TX,2008,62465,44500,72029,10,20,30,50,19,1.31,26,4192,7
Dallas-Fort Worth-Arlington TX,2009,62500,44723,68507,8,19,35,47,16,1.3,25,4002,7
Dallas-Fort Worth-Arlington TX,2010,61386,43159,70341,8,20,27,47,17,1.3,25,4042,7
Dallas-Fort Worth-Arlington TX,2011,62600,44012,73483,8,21,22,49,17,1.31,23,4093,7
Dallas-Fort Worth-Arlington TX,2012,64235,43900,76819,8,22,18,51,12,1.32,20,4192,7
Dallas-Fort Worth-Arlington TX,2013,64670,42827,78453,7,22,21,52,11,1.33,20,4220,7
Dallas-Fort Worth-Arlington TX,2014,64411,41713,79392,7,22,23,53,11,1.33,20,4202,7
Dayton OH,1982,2700,4000,1890,54,3,36,9,65,1.05,80,216,55
Dayton OH,1983,2935,4150,1942,56,3,42,9,70,1.05,85,215,55
Dayton OH,1984,3015,4360,2160,55,4,34,10,70,1.05,88,229,56
Dayton OH,1985,3190,4600,2467,55,4,40,12,63,1.06,81,253,55
Dayton OH,1986,3145,4740,2629,56,4,48,13,65,1.06,86,264,57
Dayton OH,1987,3300,4900,2829,56,5,39,13,75,1.07,78,274,56
Dayton OH,1988,3415,5005,3133,56,5,47,15,67,1.07,82,292,56
Dayton OH,1989,3850,5160,3321,56,6,44,16,69,1.08,79,295,58
Dayton OH,1990,4220,5255,3574,56,6,51,17,71,1.08,84,301,57
Dayton OH,1991,4235,5410,3889,56,7,49,18,73,1.09,78,315,56
Dayton OH,1992,4335,5550,4126,58,7,53,19,74,1.09,84,324,59
Dayton OH,1993,4845,5710,4444,60,8,50,19,78,1.1,81,339,61
Dayton OH,1994,4225,5810,4877,59,8,56,20,80,1.1,87,363,58
Dayton OH,1995,5175,5900,5038,60,9,53,20,82,1.1,88,364,63
Dayton OH,1996,5365,5995,5481,60,9,60,22,79,1.1,90,385,58
Dayton OH,1997,5555,6100,5972,58,10,58,23,77,1.11,89,410,58
Dayton OH,1998,5700,6220,6281,58,11,56,24,80,1.11,92,425,61
Dayton OH,1999,5850,6260,6617,60,11,63,24,86,1.12,90,438,61
Dayton OH,2000,6000,6280,6893,60,12,60,25,87,1.12,92,441,62
Dayton OH,2001,6200,6300,7234,59,12,66,25,87,1.12,92,450,62
Dayton OH,2002,6500,6350,7413,61,13,64,26,86,1.12,92,454,62
Dayton OH,2003,6870,6460,7577,61,13,71,26,89,1.12,94,454,63
Dayton OH,2004,7505,6400,7293,65,12,80,25,89,1.12,96,426,65
Dayton OH,2005,7485,6365,7235,66,12,82,24,91,1.12,97,408,66
Dayton OH,2006,7460,6400,7389,70,13,81,25,91,1.12,98,404,67
Dayton OH,2007,7360,6250,7542,70,13,82,25,91,1.12,99,401,68
Dayton OH,2008,7115,6105,7460,71,13,83,25,91,1.12,99,382,71
Dayton OH,2009,7200,6200,6917,72,12,87,23,91,1.11,99,356,72
Dayton OH,2010,7318,6310,7140,72,12,88,24,91,1.11,99,361,71
Dayton OH,2011,7384,6335,7220,72,12,89,24,91,1.12,97,354,72
Dayton OH,2012,6905,6235,7283,72,12,90,24,91,1.12,97,350,71
Dayton OH,2013,6957,5217,7346,72,13,86,24,91,1.12,98,348,72
Dayton OH,2014,7006,5280,7434,72,13,86,25,91,1.12,99,346,73
Denver-Aurora CO,1982,8900,11530,6181,21,3,36,17,24,1.15,28,696,23
Denver-Aurora CO,1983,9180,11665,6991,21,4,29,18,25,1.16,27,762,22
Denver-Aurora CO,1984,9865,12215,8413,18,4,34,21,19,1.18,23,879,20
Denver-Aurora CO,1985,9510,12195,8970,19,5,29,21,22,1.18,24,905,21
Denver-Aurora CO,1986,9765,12100,9060,19,5,33,21,26,1.18,27,898,23
Denver-Aurora CO,1987,10135,12115,8916,23,5,39,21,30,1.18,29,852,25
Denver-Aurora CO,1988,10315,12120,9261,23,5,47,21,38,1.18,30,850,26
Denver-Aurora CO,1989,10500,12170,10197,22,5,57,22,40,1.19,28,893,25
Denver-Aurora CO,1990,11205,12365,10579,24,6,51,23,44,1.19,28,879,25
Denver-Aurora CO,1991,11425,13240,11035,24,6,58,23,50,1.2,30,880,27
Denver-Aurora CO,1992,12430,13900,11821,24,6,63,24,54,1.2,32,915,28
Denver-Aurora CO,1993,12950,15170,13126,24,7,59,26,49,1.22,30,987,27
Denver-Aurora CO,1994,13475,15685,15233,22,8,56,29,41,1.23,30,1116,24
Denver-Aurora CO,1995,14285,16170,17128,21,9,53,31,40,1.25,24,1221,23
Denver-Aurora CO,1996,15100,16410,19408,20,10,50,34,34,1.26,24,1343,23
Denver-Aurora CO,1997,15700,16850,21961,19,12,38,37,22,1.28,21,1486,19
Denver-Aurora CO,1998,16120,17990,24307,16,13,34,40,21,1.3,16,1620,18
Denver-Aurora CO,1999,16500,19520,26662,16,14,34,42,18,1.32,15,1738,18
Denver-Aurora CO,2000,16905,20185,29094,16,16,23,44,16,1.33,15,1835,17
Denver-Aurora CO,2001,17250,20520,31971,16,17,20,45,17,1.33,15,1961,17
Denver-Aurora CO,2002,17400,20925,34664,15,19,13,48,15,1.35,14,2093,17
Denver-Aurora CO,2003,17960,21790,35916,15,19,17,48,16,1.35,14,2120,17
Denver-Aurora CO,2004,18815,22820,38072,15,20,14,50,14,1.37,13,2189,18
Denver-Aurora CO,2005,19900,23380,39534,15,21,16,52,13,1.38,11,2199,18
Denver-Aurora CO,2006,19935,23555,40288,15,22,14,51,18,1.37,14,2168,18
Denver-Aurora CO,2007,20395,22925,40577,15,22,15,50,19,1.37,14,2126,18
Denver-Aurora CO,2008,20120,22000,40408,15,22,15,49,22,1.36,13,2038,18
Denver-Aurora CO,2009,21000,21538,39982,15,21,17,47,16,1.35,13,2024,17
Denver-Aurora CO,2010,21817,21193,41025,15,22,16,47,17,1.35,16,2043,17
Denver-Aurora CO,2011,22205,21575,41299,15,22,17,46,21,1.34,17,1994,18
Denver-Aurora CO,2012,20980,20600,43146,15,23,15,48,19,1.35,17,2041,18
Denver-Aurora CO,2013,21242,20356,44502,15,24,12,49,19,1.36,15,2075,18
Denver-Aurora CO,2014,21709,21048,44922,15,24,15,49,19,1.36,16,2061,19
Detroit MI,1982,17925,34250,36161,4,12,3,33,7,1.17,21,4233,4
Detroit MI,1983,17300,35505,36528,4,12,2,33,9,1.17,24,4143,4
Detroit MI,1984,18270,37010,39490,4,13,2,35,7,1.18,23,4294,4
Detroit MI,1985,19500,38000,41967,4,14,2,37,7,1.19,22,4406,4
Detroit MI,1986,21670,39895,44020,4,15,2,38,6,1.2,21,4537,4
Detroit MI,1987,22650,39590,46754,4,16,2,40,5,1.21,21,4650,4
Detroit MI,1988,25410,39180,48595,4,16,2,41,4,1.21,22,4641,4
Detroit MI,1989,26680,39500,50013,4,17,2,42,5,1.22,21,4557,4
Detroit MI,1990,26645,39855,52553,4,18,2,43,5,1.22,22,4543,4
Detroit MI,1991,27405,40260,54822,4,18,2,45,4,1.23,22,4547,4
Detroit MI,1992,28785,41650,57937,4,19,2,46,4,1.24,23,4665,4
Detroit MI,1993,29000,42000,59493,4,20,2,47,4,1.24,23,4651,4
Detroit MI,1994,28440,42525,60992,4,21,2,48,5,1.24,24,4649,4
Detroit MI,1995,28320,43675,63411,4,21,2,49,5,1.25,24,4701,4
Detroit MI,1996,29260,44475,64758,4,22,2,49,7,1.25,26,4663,4
Detroit MI,1997,29355,44510,67216,4,23,2,51,6,1.26,25,4731,4
Detroit MI,1998,30000,44295,68874,4,23,2,51,7,1.26,28,4774,4
Detroit MI,1999,30800,44910,70916,4,24,2,52,7,1.26,29,4809,4
Detroit MI,2000,31300,46505,72338,5,24,3,52,7,1.27,27,4746,5
Detroit MI,2001,31900,49405,74667,5,25,3,53,7,1.27,30,4763,5
Detroit MI,2002,32600,49955,75901,5,26,4,54,7,1.27,32,4766,5
Detroit MI,2003,33000,50645,76402,5,26,4,53,9,1.27,33,4691,5
Detroit MI,2004,33000,51465,77037,6,26,5,53,11,1.27,34,4607,7
Detroit MI,2005,33045,53200,77766,6,26,6,54,12,1.27,35,4499,9
Detroit MI,2006,33065,53845,78174,6,26,6,54,12,1.28,35,4376,9
Detroit MI,2007,32780,53680,78420,7,26,6,55,11,1.28,32,4274,8
Detroit MI,2008,30315,52315,74942,8,25,6,53,12,1.27,35,3933,9
Detroit MI,2009,31000,50746,66377,10,22,12,47,16,1.24,38,3496,10
Detroit MI,2010,31800,47500,67483,10,23,10,48,15,1.25,37,3496,10
Detroit MI,2011,32778,46953,69335,10,23,12,50,12,1.25,37,3482,10
Detroit MI,2012,30085,45295,70879,10,24,12,51,12,1.26,35,3488,10
Detroit MI,2013,32689,43795,71384,10,24,12,52,11,1.26,34,3462,10
Detroit MI,2014,33441,44627,73645,10,25,11,52,12,1.27,33,3514,10
El Paso TX-NM,1982,1980,2910,1126,70,2,62,9,65,1.08,51,130,70
El Paso TX-NM,1983,1995,2960,1252,69,2,68,9,70,1.08,54,140,69
El Paso TX-NM,1984,2190,3075,1416,68,2,78,11,64,1.09,49,151,69
El Paso TX-NM,1985,2386,3105,1544,69,3,63,11,72,1.09,53,159,69
El Paso TX-NM,1986,2680,3195,1799,69,3,71,13,65,1.1,51,182,67
El Paso TX-NM,1987,2510,3265,2059,68,4,55,14,64,1.1,52,201,67
